-0.290354	1.67	-0.981307	
-0.254329	1.68	-0.991542	
-0.21779	1.69	-1.00047	
-0.180817	1.7	-1.00805	
-0.143493	1.71	-1.01424	
-0.105903	1.72	-1.01901	
-0.0681352	1.73	-1.02233	
-0.03028	1.74	-1.0242	
0.0075723	1.75	-1.02461	
0.0453307	1.76	-1.02355	
0.0829051	1.77	-1.02104	
0.120207	1.78	-1.01711	
0.157152	1.79	-1.01179	
0.193655	1.8	-1.00512	
0.229641	1.81	-0.997146	
0.265033	1.82	-0.987925	
0.299764	1.83	-0.977517	
0.333768	1.84	-0.965986	
0.366987	1.85	-0.953399	
0.399365	1.86	-0.939824	
0.430852	1.87	-0.925331	
0.461404	1.88	-0.90999	
0.490979	1.89	-0.893873	
0.519542	1.9	-0.87705	
0.547062	1.91	-0.859595	
0.573514	1.92	-0.84158	
0.598877	1.93	-0.823081	
0.623139	1.94	-0.804172	
0.646292	1.95	-0.784931	
0.668335	1.96	-0.765434	
0.689274	1.97	-0.74576	
0.709121	1.98	-0.725988	
0.727892	1.99	-0.706192	
0.745612	2	-0.68645	
0.762306	2.01	-0.666834	
0.778004	2.02	-0.647414	
0.79274	2.03	-0.628255	
0.806546	2.04	-0.609419	
0.819457	2.05	-0.590964	
0.831507	2.06	-0.572941	
0.842729	2.07	-0.555398	
0.853154	2.08	-0.538378	
0.862814	2.09	-0.52192	
0.871738	2.1	-0.50606	
0.879956	2.11	-0.49083	
0.887496	2.12	-0.476259	
0.894386	2.13	-0.462375	
0.900657	2.14	-0.449204	
0.906338	2.15	-0.436769	
0.911461	2.16	-0.425093	
0.916056	2.17	-0.414197	
0.920156	2.18	-0.404102	
0.923792	2.19	-0.394825	
0.926997	2.2	-0.386382	
0.929799	2.21	-0.37879	
0.932226	2.22	-0.37206	
0.934303	2.23	-0.366204	
0.93605	2.24	-0.36123	
0.937483	2.25	-0.357144	
0.938613	2.26	-0.35395	
0.939449	2.27	-0.35165	
0.939993	2.28	-0.350245	
0.940244	2.29	-0.349731	
0.940197	2.3	-0.350105	
0.939844	2.31	-0.351363	
0.939177	2.32	-0.353499	
